module,revisions,code
lib/cli.rb,72,346
lib/burndown_chart.rb,52,173
.rubocop_todo.yml,49,212
lib/card.rb,31,97
spec/unit/burndown_chart_spec.rb,25,464
lib/burndown_data.rb,23,155
lib/trello_wrapper.rb,22,55
lib/version.rb,21,3
lib/scrum_board.rb,20,125
spec/unit/cli_spec.rb,19,226
scripts/create_burndown.py,17,69
lib/trollolo.rb,16,23
.travis.yml,16,19
lib/settings.rb,15,61
spec/unit/trello_wrapper_spec.rb,15,103
spec/unit/card_spec.rb,14,234
spec/integration/create_burndown_spec.rb,12,52
lib/backup.rb,12,52
lib/scrum/sprint_cleaner.rb,12,61
spec/unit/burndown_data_spec.rb,10,205
spec/unit/scrum_board_spec.rb,10,187
.rubocop.yml,9,20
scripts/graph.py,9,110
lib/column.rb,9,39
lib/scrum/backlog_mover.rb,8,34
lib/scrum/prioritizer.rb,8,23
spec/unit/scrum/sprint_cleaner_spec.rb,8,78
scripts/burndowndata.py,8,140
spec/unit/settings_spec.rb,8,60
lib/scrum.rb,8,11
lib/scrum/sprint_board.rb,8,73
spec/unit/support/update_webmock_data,7,26
scripts/plot.py,7,130
lib/scrum/sprint_planning_board.rb,7,21
spec/integration/wrapper/credentials_input_wrapper,6,11
lib/trello_service.rb,6,14
spec/unit/scrum/prioritizer_spec.rb,6,25
lib/scrum/card_type_detection.rb,6,19
spec/unit/spec_helper.rb,5,13
spec/unit/scrum/sprint_board_spec.rb,5,34
spec/integration/command_line_spec.rb,5,40
spec/unit/support/webmocks.rb,5,67
spec/unit/scrum/creator_spec.rb,5,43
spec/unit/scrum/backlog_mover_spec.rb,5,29
spec/data/burndown_dir/burndown-data-02.yaml,4,21
lib/scrum/creator.rb,4,26
spec/integration/wrapper/trollolo_wrapper,4,6
spec/unit/scrum/sprint_planning_board_spec.rb,4,12
lib/scrum/priority_name.rb,4,13
spec/unit/backup_spec.rb,4,105
spec/integration/wrapper/empty_config_trollolo_wrapper,4,6
spec/unit/scrum/card_type_detection_spec.rb,4,28
spec/unit/support/board_mock.rb,4,55
lib/empty_column.rb,3,5
spec/data/create_burndown_helper/burndown-data-35.yaml,3,24
lib/checklist.rb,3,17
spec/integration/integration_spec_helper.rb,3,8
bin/trollolo,3,12
spec/unit/scrum/priority_name_spec.rb,3,29
spec/data/burndown-data.yaml,3,35
spec/unit/retrieve_data_spec.rb,2,47
spec/data/create_burndown_helper/burndown-data-23.yaml,2,85
spec/data/board-list.yaml,2,4
spec/unit/empty_column_spec.rb,2,8
spec/unit/board_mock_spec.rb,2,80
spec/unit/support/test_data_operations.rb,2,9
spec/data/burndown_dir/burndown-data-01.yaml,2,9
spec/data/create_burndown_helper/burndown-data-31.yaml,1,109
spec/data/create_burndown_helper/burndown-data-42.yaml,1,65
lib/array.rb,1,6
spec/unit/scrum/boards_spec.rb,1,64
spec/data/burndown-data-with-todo-columns.yaml,1,35
spec/data/burndown-data-with-doing-columns.yaml,1,32
spec/data/create_burndown_helper/burndown-data-01.yaml,1,23
spec/data/burndown-data-10.yaml,1,9
spec/data/burndown-data-with-config.yaml,1,33
spec/data/create_burndown_helper/burndown-data-08.yaml,1,111
lib/trello_helpers.rb,1,5
spec/data/burndown-data-with-swimlanes.yaml,1,32
spec/integration/support/custom_matchers.rb,1,11
lib/board_locator.rb,1,7
spec/data/create_burndown_helper/burndown-data-56.yaml,1,140
lib/scrum/boards.rb,1,17
